Company,Job Title,Job Description,Eligibility,Registration Dates,Job Type,Location,More Info,Salary
Google,Software Engineer,Develop scalable software solutions.,"B.Tech in CS or related, 0-2 yrs experience",2025-04-01 to 2025-04-30,Full-time,Bangalore,https://careers.google.com,₹23 LPA
Microsoft,Data Scientist,Analyze large datasets and build ML models.,M.Sc. or Ph.D. in Data Science or related,2025-04-05 to 2025-05-05,Full-time,Hyderabad,https://careers.microsoft.com,₹25 LPA
Amazon,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Bangalore,https://careers.amazon.com,₹7 LPA
Apple,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Mumbai,https://careers.apple.com,₹8 LPA
Meta,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Hyderabad,https://careers.meta.com,₹4 LPA
Netflix,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Pune,https://careers.netflix.com,₹13 LPA
Adobe,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Remote,https://careers.adobe.com,₹20 LPA
Salesforce,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Bangalore,https://careers.salesforce.com,₹27 LPA
IBM,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Mumbai,https://careers.ibm.com,₹3 LPA
Oracle,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Hyderabad,https://careers.oracle.com,₹6 LPA
Intel,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Pune,https://careers.intel.com,₹28 LPA
NVIDIA,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Remote,https://careers.nvidia.com,₹21 LPA
Cisco,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Bangalore,https://careers.cisco.com,₹11 LPA
SAP,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Mumbai,https://careers.sap.com,₹9 LPA
Qualcomm,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Hyderabad,https://careers.qualcomm.com,₹8 LPA
Infosys,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Pune,https://careers.infosys.com,₹17 LPA
TCS,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Remote,https://careers.tcs.com,₹13 LPA
Wipro,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Bangalore,https://careers.wipro.com,₹22 LPA
Accenture,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Mumbai,https://careers.accenture.com,₹27 LPA
Capgemini,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Hyderabad,https://careers.capgemini.com,₹23 LPA
HCL,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Pune,https://careers.hcl.com,₹19 LPA
Deloitte,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Remote,https://careers.deloitte.com,₹29 LPA
EY,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Bangalore,https://careers.ey.com,₹3 LPA
PwC,Backend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Mumbai,https://careers.pwc.com,₹29 LPA
KPMG,Frontend Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Full-time,Hyderabad,https://careers.kpmg.com,₹18 LPA
Zomato,Fullstack Developer,Work on scalable web applications.,"Graduate in CS or relevant, fresher/experienced",2025-04-01 to 2025-05-01,Internship,Pune,https://careers.zomato.com,₹5 LPA
